D,ScientificName,QualifiedScientificName,CommonName,Family,Genus,Species,SpeciesAuthority,Subspecies,SubspeciesAuthority,Variety,VarietyAuthority,Forma,FormaAuthority,Identifier,IDDate,IDNotes,CDC,MuseumCollection,Collector,CollectorsFieldNumber,CollectionDate,Prov_State,District,LocationName,LocationDescription,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Elevation,Park_ER_IR,HabitatRemarks,SpecimenNotes,SpeciesAbundance,ReviewedYesNo,AddedYesNo,ImagedYesNo,scientificNameReviewed,scientificNameReviewedwAuthorities,SpeciesAuthorityNew,SubspeciesAuthorityNew,VarietyAuthorityNew,IdentifierNew,IDDateNew,IDNotesNew,MuseumCollectionNew,CollectorsFieldNumberNew,CollectionDateNew,Prov_StateNew,DistrictNew,LocationNameNew,decimalLatitude,decimalLongitude,georeferencedBy,georeferenceVerificationStatus,georeferenceProtocol,georeferenceRemarks,elevationNew,Park_ER_IR_New,HabitatRemarksNew,SpecimenNotesNew,SpeciesAbundanceNew
V120101,Aster chilensis Nees,Aster chilensis Nees,aster; common California aster,Asteraceae,Aster,chilensis,Nees,,,,,,,George Douglas,,,Not Listed,Janszen 1982,Harvey Janszen,2294,1982-08-14,British Columbia,Gulf Islands,Galiano Island,L. 3,48.93333333,-123.45,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V120104,Rorippa islandica (Oeder) Borbas var. occidentalis (Wats.) Butters & Abbe,Rorippa islandica (Oeder) Borbas var. occidentalis (Wats.) Butters & Abbe,marsh yellow cress; yellow cress,Brassicaceae,Rorippa,islandica,,,,occidentalis,(Wats.) Butters & Abbe,,,Harvey Janszen,,,Not Listed,Janszen 1982,Harvey Janszen,2294,1982-08-14,British Columbia,Gulf Islands,Galiano Island,L. 1,48.93333333,-123.45,,,,,,fenny field; very wet,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V120266,Sisymbrium altissimum L.,Sisymbrium altissimum L.,tall tumble-mustard; tumble-mustard,Brassicaceae,Sisymbrium,altissimum,L.,,,,,,,Harvey Janszen,1982-01-01,,Not Listed,Janszen 1982,Harvey Janszen,2295,1982-08-14,British Columbia,Gulf Islands,Galiano Island,L.11 and L.13,48.93333333,-123.45,,,,,,waste ground and garden,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V120119,Pterospora andromedea Nutt.,Pterospora andromedea Nutt.,pinedrops,Monotropaceae,Pterospora,andromedea,Nutt.,,,,,,,Gary Wallace,1998-01-01,IDD:  19980000; annotated for Flora of North America; Wallace of RSA,Not Listed,Janszen 1982,Harvey Janszen,2299,1982-11-10,British Columbia,Gulf Islands,Mayne Island,Campbell Bay Road,48.85,-123.2833333,,,,,,N slope; fir-hemlock forest; open moss,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123329,Microsteris gracilis (Hook.) Greene,Microsteris gracilis (Hook.) Greene,pink twink; twink,Polemoniaceae,Microsteris,gracilis,(Hook.) Greene,,,,,,,Harvey Janszen,1983-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2302,1983-04-16,British Columbia,,Duncan; Mount Tzuhalem,,48.76666667,-123.6166667,,,,,,open ridge near summit,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129563,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Carex lenticularis Michx. var. lipocarpa (Holm) Standley,Kellogg's sedge; sedge,Cyperaceae,Carex,lenticularis,,,,lipocarpa,(Holm) Standley,,,Adolf Ceska,2000-08-01,,Not Listed,Janszen 1984,Harvey Janszen,2307,1984-07-04,British Columbia,Gulf Islands,Saturna Island; Winter Cove,Drainage into Winter Cove.,48.81666667,-123.1833333,,,,,,"With Scripus microcarpus, Oenanthe sarmentosa in small fen.",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123323,Thysanocarpus curvipes Hook.,Thysanocarpus curvipes Hook.,lacepod; sand lacepod,Brassicaceae,Thysanocarpus,curvipes,Hook.,,,,,,,Harvey Janszen,1983-01-01,,Blue,Janszen 1983,Harvey Janszen,2310,1983-04-16,British Columbia,Vancouver Island,Mount Finlayson,,48.48333333,-123.5333333,,,,,Goldstream Provincial Park,open S face,not abundant,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123322,Arabis eschscholtziana Andrz.,Arabis eschscholtziana Andrz.,Eschscholtz's rockcress; rockcress,Brassicaceae,Arabis,eschscholtziana,Andrz.,,,,,,,Curtis Bjork,2015-03-01,,Not Listed,Janszen 1983,Harvey Janszen,2311,1983-04-16,British Columbia,Vancouver Island,Goldstream River; Mount Finlayson,,48.48333333,-123.5333333,,,,,Goldstream Provincial Park,grassy ledge near summmit; W face.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123781,Fallopia japonica (Houttyn) Ronse Decraene,Fallopia japonica (Houttyn) Ronse Decraene,Japanese knotweed; knotweed,Polygonaceae,Fallopia,japonica,(Houttyn) Ronse Decraene,,,,,,,Kendrick Marr,2008-11-26,,Not Listed,Janszen 1983,Harvey Janszen,2312,1983-04-23,British Columbia,Gulf Islands,North Pender Island; Otter Bay,Otterbay Road,48.8,-123.3166667,,,,,,roadside,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123304,Cardamine laciniata,Cardamine laciniata,bitter-cress; cut-leaved toothwort,Brassicaceae,Cardamine,laciniata,,,,,,,,Harvey Jenszen,1983-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2313,1983-04-23,British Columbia,Gulf Islands,North Pender Island; Browning Harbour,Magic Lake area,48.78333333,-123.2833333,,,,,,ditches and waste ground; wet,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123318,Crassula connata (Ruiz & Pavon) Berger,Crassula connata (Ruiz & Pavon) Berger,erect pygmyweed; pygmyweed,Crassulaceae,Crassula,connata,(Ruiz & Pavon) Berger,,,,,,,George Douglas,1991-01-01,IDD:  19910000; G.W. Douglas of B.C. Conservation Data Centre,Red,Janszen 1983,Harvey Janszen,2317,1983-04-23,British Columbia,,N Pender Island; Oak Bluffs,,,,,,,,,dry disturbed ledges; widespread this year; not seen previous years,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123317,Microseris lindleyi (DC.) A. Gray,Microseris lindleyi (DC.) A. Gray,Lindley's microseris,Asteraceae,Microseris,lindleyi,(DC.) A. Gray,,,,,,,Ken Chambers,1986-10-15,,Red,,Harvey Janszen,2318,1983-04-23,British Columbia,Gulf Islands,North Pender Island; Oaks Bluff,,48.75,-123.2666667,,,,,,Sparsely distributed on ledges,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123273,Amsinckia retrorsa Suksd.,Amsinckia retrorsa Suksd.,fiddleneck; rigid fiddleneck,Boraginaceae,Amsinckia,retrorsa,Suksd.,,,,,,,Curtis Bjork,2015-03-01,,Yellow,Janszen 1983,Harvey Janszen,2323,1983-04-28,Washington,,San Juan Island,Cattle Point,,,,,,,,open sandy soil,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123293,Lupinus littoralis Dougl. ex Lindl. var. littoralis,Lupinus littoralis Dougl. ex Lindl. var. littoralis,,Fabaceae,Lupinus,littoralis,,,,littoralis,,,,Kendrick Marr,2019-03-15,FNA update,,,Harvey Janszen,2325,1983-04-28,Washington,,San Juan Island,Cattle Point,,,,,,,,on dunes and sand areas,,Abundant and widespread,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123292,,,,,,,,,,,,,,,,,,Janszen 1983,Harvey Janszen,2326,1983-04-28,Washington,,San Juan Island,Cattle Point,,,,,,,,sandy open fields,5 to many petals; abundant,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123291,Poa confinis Vasey,Poa confinis Vasey,beach bluegrass; grass,Poaceae,Poa,confinis,Vasey,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2327,1983-04-28,Washington,,San Juan Island,Cattle Point,,,,,,,,sand dunes,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123275,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,Plagiobothrys tenellus (Nutt. ex Hook.) A. Gray,popcornflower; slender popcornflower,Boraginaceae,Plagiobothrys,tenellus,(Nutt. ex Hook.) A. Gray,,,,,,,Curtis Bjork,2013-02-01,,Red,Janszen 1983,Harvey Janszen,2329,1983-04-23,Washington,,San Juan Island; Cattle Point,,,,,,,,,open sandy fields,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123290,Bromus carinatus Hook. & Arn. var. carinatus,Bromus carinatus Hook. & Arn. var. carinatus,California brome; grass,Poaceae,Bromus,carinatus,,,,carinatus,,,,Laurel Anderton,2005-01-01,IDD:  20050000; Anderton of Intermountain Herbarium - Utah State University,Not Listed,Janszen 1983,Harvey Janszen,2330,1983-05-28,Washington,,Cattle Point; San Juan Island,,48.45055556,-122.9616667,,,,,,open sandy fields and cliffs,inflorescence spreading in life,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123289,Poa howellii Vasey & Scribn.,Poa howellii Vasey & Scribn.,grass; Howell's bluegrass,Poaceae,Poa,howellii,Vasey & Scribn.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2338,1983-04-29,Washington,,San Juan Island,hills NW of Mt. Dallas,,,,,,,,"shady, dry treed slopes below open bluffs",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123313,Arabis eschscholtziana Andrz.,Arabis eschscholtziana Andrz.,Eschscholtz's rockcress; rockcress,Brassicaceae,Arabis,eschscholtziana,Andrz.,,,,,,,Curtis Bjork,2015-03-01,,Not Listed,Janszen 1983,Harvey Janszen,2339,1983-05-13,British Columbia,Gulf Islands,Mayne Island; Helen Point,,48.85,-121.5166667,,,,,,S facing cliffs.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123300,Danthonia californica Boland.,Danthonia californica Boland.,California oatgrass; grass,Poaceae,Danthonia,californica,Boland.,,,,,,,Harvey Janszen,1983-01-01,,Not Listed,,Harvey Janszen,2344,1983-07-07,British Columbia,Gulf Islands,Galiano Island,Bellhouse Point,48.93333333,-123.45,,,,,,thin soil on rock near shore,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123607Y,Carex sprengelii Dewey ex Spreng.,Carex sprengelii Dewey ex Spreng.,sedge; Sprengel's sedge,Cyperaceae,Carex,sprengelii,Dewey ex Spreng.,,,,,,,Adolf Ceska,1992-01-01,,Red,Janszen 1983,Harvey Janszen,2347,1983-07-11,British Columbia,Gulf Islands,Saturna Island,"East Point Road, 0.25 mile from ferry landing",,,,,,,,sedge meadow and under adjacent Alder forest,SPECIMEN NOT FOUND 19950329; INCORRECT AN; JPM,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123308,Juncus acuminatus Michx.,Juncus cf. acuminatus Michx.,,Juncaceae,Juncus,acuminatus,Michx.,,,,,,,Harvey Janszen,1983-01-01,,,Janszen 1983,Harvey Janszen,2350,1983-09-05,British Columbia,,Saturna Island,,48.8,-123.2,,,,,,sedge fen at upper end of reservoir,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123295,Carex macrocephala Willd. ex Spreng.,Carex macrocephala Willd. ex Spreng.,large-headed sedge; sedge,Cyperaceae,Carex,macrocephala,Willd. ex Spreng.,,,,,,,Adolf Ceska,1992-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2357,1983-09-21,Washington,,Waldron Island; Sandy Point,,,,,,,,,sand dunes near point only,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V123287,Poa confinis Vasey,Poa confinis Vasey,beach bluegrass; grass,Poaceae,Poa,confinis,Vasey,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1983,Harvey Janszen,2358,1983-09-21,Washington,,Waldron Island,Cowlitz Bay,,,,,,0 m (min.),,sandy flats above high tide line (and at Sandy Point),,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129559,Alopecurus pratensis L.,Alopecurus pratensis L.,grass; meadow-foxtail,Poaceae,Alopecurus,pratensis,L.,,,,,,,William Crins,1989-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2364,1984-04-24,British Columbia,Gulf Islands,Saturna Island; Lyall Harbout,,55.63333333,-129.4833333,,,,,,Wet roadside.,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129565,Crassula connata (Ruiz & Pavon) Berger,Crassula connata (Ruiz & Pavon) Berger,erect pygmyweed; pygmyweed,Crassulaceae,Crassula,connata,(Ruiz & Pavon) Berger,,,,,,,George Douglas,1991-01-01,IDD:  19910000; G.W. Douglas of B.C. Conservation Data Centre,Red,Janszen 1984,Harvey Janszen,2365,1984-05-10,British Columbia,,Saturna Island,East Point,,,,,,,,on edge of sea cliffs,few small patches,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129564,Sagina maxima A. Gray ssp. maxima,Sagina maxima A. Gray ssp. maxima,coastal pearlwort; pearlwort,Caryophyllaceae,Sagina,maxima,,maxima,,,,,,Kendrick Marr,2014-11-20,Reviewed for VFBC,Not Listed,,Harvey Janszen,2366,1984-05-10,British Columbia,Gulf Islands,Saturna Island; East Point,,48.785,-123.0452778,,,,,,gravely and sandy soil on sea cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129547,Sanicula bipinnatifida Dougl. ex Hook.,Sanicula bipinnatifida Dougl. ex Hook.,purple sanicle; sanicle,Apiaceae,Sanicula,bipinnatifida,Dougl. ex Hook.,,,,,,,Harvey Janszen,1984-01-01,,Red,Janszen 1984,Harvey Janszen,2367,1984-05-10,British Columbia,Gulf Islands,Saturna Island; East Point,,48.785,-123.0452778,,,,,,single small stand on sea cliffs; with Ranunculus occidentalis,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129567,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,Sagina decumbens (Ell.) T. & G. ssp. occidentalis (S. Wats.) Crow,pearlwort; western pearlwort,Caryophyllaceae,Sagina,decumbens,,occidentalis,(S. Wats.) Crow,,,,,Kendrick Marr,2014-11-20,Reviewed for VFBC,Yellow,,Harvey Janszen,2369,1984-06-02,British Columbia,,Matthews Point,"Galiano Island; original label read ""mathews""",48.86138889,-123.3286111,,,,,,eroded soil at the edge of sea cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129550,Dodecatheon pulchellum (Raf.) Merr. var. pulchellum,Dodecatheon pulchellum (Raf.) Merr. var. pulchellum,pretty shootingstar; shootingstar,Primulaceae,Dodecatheon,pulchellum,,,,pulchellum,,,,Terri Suttill,1989-05-23,,Not Listed,Janszen 1984,Harvey Janszen,2372,1984-06-02,British Columbia,Gulf Islands,Galiano Island; Bellhouse Park,,48.87222222,-123.3102778,,,,,Bellhouse Provincial Park,vernal seepage pools on rocky shore,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129554,Amsinckia retrorsa Suksd.,Amsinckia retrorsa Suksd.,fiddleneck; rigid fiddleneck,Boraginaceae,Amsinckia,retrorsa,Suksd.,,,,,,,Curtis Bjork,2015-03-01,,Yellow,Janszen 1984,Harvey Janszen,2373,1984-06-02,British Columbia,,Galiano Island,Bellhouse Point,48.86666667,-123.3,,,,,,dry hayfield,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129549,Bromus diandrus Roth,Bromus diandrus Roth,grass; two-anthered brome,Poaceae,Bromus,diandrus,Roth,,,,,,,Jeffery Saarela,2009-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2374,1984-06-02,British Columbia,Gulf Islands,Saturna Island; Bellhouse Point,,48.93333333,-123.45,,,,,,dry banks above sea,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129566,Bromus carinatus Hook. & Arn. var. carinatus,Bromus carinatus Hook. & Arn. var. carinatus,California brome; grass,Poaceae,Bromus,carinatus,,,,carinatus,,,,Laurel Anderton,2005-01-01,IDD:  20050000; Anderton of Intermountain Herbarium - Utah State University,Not Listed,Janszen 1984,Harvey Janszen,2378,1984-06-02,British Columbia,Gulf Islands,Galiano Island,Bluffs Park,48.93333333,-123.45,,,,,,open bluff,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129588,Poa nemoralis L.,Poa nemoralis L.,grass; wood bluegrass,Poaceae,Poa,nemoralis,L.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2379,1984-06-02,British Columbia,Gulf Islands,Galiano Island,Section 4,48.93333333,-123.45,,,,10 m (min.),,shady logging road in fir-salal forest,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129555,Amsinckia menziesii (Lehm.) A. Nels. & J.F. Macbr.,Amsinckia menziesii (Lehm.) A. Nels. & J.F. Macbr.,fiddleneck; small-flowered fiddleneck,Boraginaceae,Amsinckia,menziesii,(Lehm.) A. Nels. & J.F. Macbr.,,,,,,,Harvey Janszen,1984-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2381,1984-06-02,British Columbia,,Galiano Island,SL 82,48.93333333,-123.45,,,,,,open slope at foot of sea cliffs,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129586,Lomatium papilioniferum J.A. Alexander & W. Whaley,Lomatium papilioniferum J.A. Alexander & W. Whaley,,Apiaceae,Lomatium,papilioniferum,J.A. Alexander & W. Whaley,,,,,,,Mark Darrach,2019-02-26,,,,Harvey Janszen,2382,1984-06-02,British Columbia,,Galiano Island,SL 82,48.93333333,-123.45,,,,150 ft. (min.),,S facing sandstone & conglomerate cliffs above sea,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129553,Poa howellii Vasey & Scribn.,Poa howellii Vasey & Scribn.,grass; Howell's bluegrass,Poaceae,Poa,howellii,Vasey & Scribn.,,,,,,,R. Soreng,1993-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2384,1984-06-12,British Columbia,Vancouver Island,Sidney,Marina Highway,48.65,-123.4,,,,,,disturbed ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129568,Agrostis microphylla Stend.,Agrostis microphylla Stend.,grass; small-leaved bentgrass,Poaceae,Agrostis,microphylla,Stend.,,,,,,,Michael Harvey,1991-01-01,,Not Listed,Janszen 1984,Harvey Janszen,2386,1984-06-14,British Columbia,Gulf Islands,Saturna Island,East Point,48.78333333,-123.15,,,,,,small pure stands on recently bared ground,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129589,Festuca idahoensis Elmer var. roemeri Pavlick ined,Festuca idahoensis Elmer var. roemeri Pavlick ined,grass; Roemer's fescue,Poaceae,Festuca,idahoensis,,,,roemeri,Pavlick ined,,,Susan Aiken,1990-01-01,,Not Listed,Janszen 1984,Harvey Janszen; Fred Sharpe,2389,1984-06-25,Washington,,Orcas Island; Mount Constitution,,,,,,,900 ft. (min.),,south-facing meadow,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129539,Agrostis exarata Trin.,Agrostis exarata Trin.,grass; spike bentgrass,Poaceae,Agrostis,exarata,Trin.,,,,,,,Leon Pavlick,1985-04-01,,Not Listed,Janszen 1984,Harvey Janszen; Fred Sharpe,2399,1984-06-25,Washington,,Orcus Island; Mount Constitution,,48.67777778,-122.8297222,,,,2454 ft. (min.),,on NE facing cliffs.,forming tidy round bunches,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129576,Polemonium pulcherrimum Hook. var. calycinum (Eastw.) Brand,Polemonium pulcherrimum Hook. var. calycinum (Eastw.) Brand,Jacob's-ladder; showy Jacob's-ladder,Polemoniaceae,Polemonium,pulcherrimum,,,,calycinum,(Eastw.) Brand,,,Harvey Janszen,1984-01-01,,Not Listed,Janszen 1984,Harvey Janszen; Fred Sharpe,2400,1984-06-25,Washington,,Mount Constitution; Orcus Island,,,,,,,,,S to NE facing rock,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129578,Carex lasiocarpa Ehrh.,Carex lasiocarpa Ehrh.,sedge; slender sedge,Cyperaceae,Carex,lasiocarpa,Ehrh.,,,,,,,Harvey Janszen,1984-01-01,,Not Listed,Janszen 1984,Harvey Janszen; Fred Sharpe,2403,1984-06-26,Washington,,Kilebrew Lake; Orcus Island,,,,,,,,,sphagnum bog at edge of lake,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V129581,Amaranthus powellii S. Wats.,Amaranthus powellii S. Wats.,pigweed; Powell's amaranth,Amaranthaceae,Amaranthus,powellii,S. Wats.,,,,,,,Mihai Costea,2002-03-25,Mihai Costea is from the University of Guelph,Not Listed,Janszen 1984,Harvey Janszen,2409,1984-08-05,British Columbia,Gulf Islands,Saturna Island,East Point Road and Croker Point,48.78333333,-123.15,,,,,,garden weed,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174873,Nemophila pedunculata Dougl. ex Benth.,Nemophila pedunculata Dougl. ex Benth.,meadow nemophila; nemophila,Hydrophyllaceae,Nemophila,pedunculata,Dougl. ex Benth.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1985,Harvey Janszen,2413,1985-04-17,British Columbia,Gulf Islands,"Saltspring Island; Maxwell, Mount",Mount Maxwell SW face,48.8075,-123.5347222,10U,540620,46074,150 m (min.),Mount Maxwell Provincial Park,"On sandstone rock outcrop in open grassy bluff; slope: 100%, aspect: S 35 degrees W; 10 plants",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174872,Woodsia scopulina D.C. Eaton,Woodsia scopulina D.C. Eaton,fern; mountain cliff fern,Dryopteridaceae,Woodsia,scopulina,D.C. Eaton,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1985,Harvey Janszen,2414,1985-04-17,British Columbia,Gulf Islands,"Saltspring Island; Maxwell, Mount",Mount Maxwell SW face,48.80527778,-123.5361111,10U,540595,46062,30 m (min.),Mount Maxwell Provincial Park,"On sandstone rock outcrop in open grassy bluff; slope: 100%, aspect: S 35 degrees W; 100 plants",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174870,Aspidotis densa (Brackenr.) Lellinger,Aspidotis densa (Brackenr.) Lellinger,dense lace fern; fern,Pteridaceae,Aspidotis,densa,(Brackenr.) Lellinger,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1985,Harvey Janszen,2415,1985-04-17,British Columbia,Gulf Islands,"Saltspring Island; Maxwell, Mount",SW face of Mount Maxwell,48.80527778,-123.5361111,10U,540595,46062,30 m (min.),Mount Maxwell Provincial Park,"On sandstone rock outcrop in open grassy bluff; slope: 100%, aspect: S 35 degrees W; 3 crowns",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V206515,Piperia maritima Rydb.,Piperia maritima Rydb.,orchid; seaside rein orchid,Orchidaceae,Piperia,maritima,Rydb.,,,,,,,Harvey Janszen,,Piperia maritima (Greene) Rydb. (= Piperia elegans (Lindl.) Rydb.),Not Listed,Janszen 1985,Harvey Janszen,2416,1985-06-06,British Columbia,,"Saturna Island, British Columbia","Saturna Island, East Point, 30 m SE of point, near shore trail",48.78555556,-123.0363889,10U,540364,49670,4 m (min.),,"At edge of Rosa nutkana/Symphoricarpos albus thicket on dry, open conglomerate bluff at sea edge with Cladina sp.",4 plants observed in a small clump,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174871,Allium amplectens Torr.,Allium amplectens Torr.,onion; slimleaf onion,Liliaceae,Allium,amplectens,Torr.,,,,,,,Harvey Janszen,,,Blue,Janszen 1986,Harvey Janszen,2417,1986-06-15,British Columbia,Gulf Islands,Saturna Island; Mount Fisher,unnamed hill N of Mt. Fisher,48.78555556,-123.1894444,10U,540362,48608,290 m (min.),,"On N-facing moss & lichen covered rock bald with Anthoxanthum odoratum, Mimulus guttatus, Saxifraga rufidula, Cladina spp.; slope: 20%, aspect: N 10 degrees E; 75 plants in 40x40 m; private land; site revisited June",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174869,Trifolium wormskjoldii Lehm.,Trifolium wormskjoldii Lehm.,clover; springbank clover,Fabaceae,Trifolium,wormskjoldii,Lehm.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1986,Harvey Janszen,2418,1986-06-13,British Columbia,Gulf Islands,Saturna Island,salt marsh pond at Winter Cove Provincial Park,48.8125,-123.1877778,10U,540663,48620,0 m (min.),Winter Cove Provincial Park,"On shore of pond with salt water incursion with Distichlis spicata, Salicornia virginica, Atriplex subspicata; 10 plants observed",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174868,Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli (L.) P.Beauv.,grass; large barnyard-grass,Poaceae,Echinochloa,crus-galli,(L.) P.Beauv.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1986,Harvey Janszen,2419,1986-08-20,British Columbia,Gulf Islands,Saturna Island; Lyall Harbour,garden soil,48.79416667,-123.1761111,10U,540459,48705,5 m (min.),,"In vegetable garden with Amarnathus retroflexus, Chenopodium album and Capsella bursa-pastoris; slope: 5%, aspect: S 20 degrees W; 50 plants observed",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174867,Chenopodium rubrum L.,Chenopodium rubrum L.,red goosefoot,Chenopodiaceae,Chenopodium,rubrum,L.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1987,Harvey Janszen,2420,1987-09-15,British Columbia,Gulf Islands,Saturna Island,fen in Winter Cove Provincial Park,48.81111111,-123.1877778,10U,540648,48620,1 m (min.),Winter Cove Provincial Park,"On mud bar with some salt water incursion in drying Typha latifolia, Oenanthe sarmentosa fen",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174865,Myriophyllum verticillatum L.,Myriophyllum verticillatum L.,verticillate water-milfoil; water-milfoil,Haloragaceae,Myriophyllum,verticillatum,L.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1987,Harvey Janszen,2421,1987-09-15,British Columbia,Gulf Islands,Saturna Island; Winter Cove,"stock pond, Winter Cove area",48.805,-123.1933333,10U,540580,48580,15 m (min.),,"In 2 m deep stock pond with steep, muddy shore; covering 10 m x 30 m pond surface",,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174866,Panicum capillare L.,Panicum capillare L.,common witchgrass; grass,Poaceae,Panicum,capillare,L.,,,,,,,Stephen Darbyshire,2001-01-01,IDD:  20010000; Darbyshire lists the following synonyms for Panicum capillare L.: Panicum capillare var. agreste Gattinger; Panicum capillare var. occidentale Rydb.; Panicum capillare var. brevifolium Vasey ex Rydb. & Sheer; Panicum barbipulvinatum Nash;,Not Listed,Janszen 1994,Harvey Janszen,2422,1994-08-08,British Columbia,Gulf Islands,Saturna Island; Lyall Harbour,,48.79888889,-123.1783333,10U,540513,48689,60 m (min.),,In flower bed,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
V174864,Malva neglecta Wallr.,Malva neglecta Wallr.,dwarf mallow; mallow,Malvaceae,Malva,neglecta,Wallr.,,,,,,,Harvey Janszen,,,Not Listed,Janszen 1994,Harvey Janszen,2423,1994-08-14,British Columbia,Gulf Islands,Saturna Island; Lyall Harbour,,48.79888889,-123.1783333,10U,540513,48689,60 m (min.),,On lawn; well established in several mowed lawns on island,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
